logFC	logCPM	LR	PValue	FDR
CCNE1	2.74673559956528	3.32570846235927	287.558714092702	1.69238063592147e-64	1.16336058178209e-62
USP1	1.25974934358304	6.61632226098933	286.412855112207	3.00731719331434e-64	2.04896770542717e-62
FAM83D	1.72535119099087	4.55165983564589	286.230047244356	3.29619693770197e-64	2.22608949327785e-62
MSLN	5.60392618926666	5.55021400756951	286.030307640289	3.64364954252316e-64	2.43934415894659e-62
TSPAN33	1.63211962831681	4.76325306741234	285.949092395455	3.79518985441876e-64	2.51889368010086e-62
RIPK2	1.27628051846377	5.30197164864856	285.767187839337	4.15786906827936e-64	2.73601999629767e-62
GPSM2	1.33220005780937	5.2489993329882	285.639523429818	4.43291237273383e-64	2.8922874879388e-62
ODC1	1.59111772829655	6.13601979780865	284.511303965882	7.80786599535387e-64	5.05149246203609e-62
KRT81	4.56291453434817	6.418696729117	284.143801388485	9.38886838779695e-64	6.02374147647073e-62
C4orf34	-1.57017002886453	6.37781367960387	283.683171051192	1.18300812001987e-63	7.52725579837438e-62
PPPDE1	1.00790032766926	6.54166721246809	282.085783811284	2.63677835031702e-63	1.66398004254842e-61
GABBR2	5.43260307442436	2.35566465222038	281.666919715785	3.25348818991306e-63	2.03647199789761e-61
TUBB	1.06666017556131	10.2650626098191	280.715209517797	5.24493718942511e-63	3.25651382430516e-61
LRRC8D	1.27401890483467	5.93067291198876	280.295872222578	6.47322309465034e-63	3.98698756845704e-61
DEPDC1	2.27241139596424	4.06840671339779	280.224576925021	6.70898783991413e-63	4.09940455392848e-61
C6orf115	1.57854725784213	5.69683209855879	278.311364860201	1.75219686261208e-62	1.06221760986224e-60
MAGOH	1.13857839372848	5.05237660212471	277.828512977807	2.23258113797563e-62	1.34286267041206e-60
PFKP	1.93832638086153	6.21802496815183	277.20518002776	3.05243598459318e-62	1.82176005002968e-60
PSMG1	1.30326009510213	4.91500250103719	276.939436207746	3.48785879245642e-62	2.06561729562477e-60
ATL2	1.25052911933461	6.53147061909211	276.209697096225	5.03023876325976e-62	2.9563212395677e-60
ENO1	1.21183529406215	10.0379131449967	275.514006071391	7.13180903930515e-62	4.15968165103109e-60
HMGA1	1.55369062070132	7.20987180435433	275.498934620578	7.18595054881166e-62	4.15974686280459e-60
GATA3	-3.07359091556951	9.11648911474251	275.131626876921	8.64035773394517e-62	4.96433688012268e-60
PAK1IP1	1.08108584131885	4.7555785950915	274.78221044007	1.02962841400549e-61	5.8719327106876e-60
TMBIM6	-0.97360325764176	10.3411207770022	274.510992747262	1.17974350506377e-61	6.67856268050438e-60
ZNF703	-2.89791528922253	5.54654743998227	274.363917908391	1.27010618157423e-61	7.13762590652552e-60
CLEC7A	2.02249709185407	4.28717840490166	273.230253656163	2.24338984006987e-61	1.25158394048536e-59
UQCRH	1.1208305127643	6.93216425250995	272.818175541739	2.75874626886952e-61	1.52802787942636e-59
BBS1	-1.06260493028236	5.64132460917443	271.537886062726	5.24489923794556e-61	2.8843199452102e-59
BTG3	1.65455928220224	4.7778538388592	270.705833058316	7.96300053937932e-61	4.34802419522563e-59
EZH2	1.72958306427601	4.77917918356245	269.67556563478	1.33542180356442e-60	7.24043131383274e-59
UGT8	1.78773301196436	3.85739886381869	269.630480896293	1.36598059830706e-60	7.35432491354271e-59
SLC22A5	-1.54168604089769	5.01071734162251	269.296389407263	1.61532100917629e-60	8.63635864558909e-59
SYTL4	-1.78837103023824	5.25659027689041	268.887242000956	1.98349828605226e-60	1.05316919340113e-58
ACTR3B	1.44074975552728	4.19515565742401	268.512558522641	2.39383326123314e-60	1.26233714234479e-58
KCNN4	2.51768100207655	5.45831474885234	266.877044165764	5.43949130960247e-60	2.84888731922649e-58
BCAS1	-3.32389185423929	5.22109638999031	266.856983802483	5.49452991967419e-60	2.85826931429538e-58
PAPSS1	1.14118176212895	7.29764844085806	266.032651798297	8.30995796574909e-60	4.29385009250351e-58
